film_id,budget,revenue,dir_id
43597,237000000,1507002209,4762
43598,300000000,961000000,4763
43599,245000000,880674609,4764
43600,250000000,1084939099,4765
43601,260000000,284139100,4766
43602,258000000,890871626,4767
43603,260000000,591794936,4768
43604,280000000,1405403694,4769
43605,250000000,933959197,4770
43606,250000000,873260194,4771
43607,270000000,391081192,4772
43608,200000000,586090727,4773
43609,200000000,1065659812,4763
43610,255000000,89289910,4763
43611,225000000,662845518,4771
43612,225000000,419651413,4774
43613,220000000,1519557910,4769
43614,380000000,1045713802,4775
43615,225000000,624026776,4776
43616,250000000,956019788,4777
43617,215000000,752215857,4778
43618,200000000,310669540,4779
43619,250000000,958400000,4777
43620,180000000,372234864,4780
43621,207000000,550000000,4777
43622,200000000,1845034188,4762
43623,250000000,1153304495,4781
43624,209000000,303025485,4782
43625,150000000,1513528810,4783
43626,200000000,1108561013,4764
43627,200000000,783766341,4767
43628,200000000,1215439994,4784
43629,200000000,1025491110,4785
43630,210000000,459359555,4786
43631,200000000,743559607,4787
43632,150000000,836297228,4788
43633,210000000,1091405097,4788
43634,200000000,491868548,4767
43635,200000000,705717432,4778
43636,170000000,400062763,4789
43637,200000000,559852396,4790
43638,200000000,219851172,4791
43639,200000000,1066969703,4792
43640,200000000,371353001,4793
43641,190000000,1506249360,4794
43642,200000000,531865000,4773
43643,250000000,747862775,4772
43644,190000000,467365246,4795
43645,195000000,197687603,4772
43646,105000000,351040419,4796
43647,150000000,335154643,4797
43648,180000000,407602906,4798
43649,195000000,1123746996,4788
43650,185000000,786636033,4799
43651,175000000,331926147,4800
43652,185000000,538983207,4801
43653,185000000,343471816,4802
43654,180000000,521311860,4766
43655,140000000,258022233,4786
43656,200000000,769653595,4803
43657,200000000,325233863,4804
43658,176000003,183987723,4805
43659,180000000,356743061,4770
43660,180000000,748806957,4774
43661,178000000,543934787,4772
43662,185000000,1004558444,4765
43663,175000000,735099082,4806
43664,175000000,381509870,4807
43665,140000000,585174222,4808
43666,170000000,185770160,4809
43667,170000000,222104681,4776
43668,145000000,401128639,4810
43669,175000000,745000000,4811
43670,175000000,173000000,4812
43671,178000000,370541256,4813
43672,175000000,264218220,4814
43673,175000000,302469017,4815
43674,175000000,857611174,4806
43675,175000000,966550600,4808
43676,200000000,623933331,4808
43677,170000000,396600000,4816
43678,180000000,758539785,4817
43679,170000000,710644566,4818
43680,27000000,0,4819
43681,175000000,150962475,4820
43682,170000000,714766572,4781
43683,165000000,752600867,4821
43684,190000000,209154322,4822
43685,165000000,652105443,4823
43686,165000000,471222889,4824
43687,165000000,305875730,4804
43688,165000000,389681935,4803
43689,165000000,494878759,4825
43690,200000000,435000000,4826
43691,170000000,773328629,4827
43692,165000000,675120017,4765
43693,160000000,825532764,4765
43695,250000000,1021103568,4777
43696,38000000,207283925,4810
43697,150000000,333932083,4829
43698,160000000,353624124,4830
43699,160000000,653428261,4831
43700,150000000,215283742,4832
43701,160000000,181674817,4833
43702,170000000,299370084,4834
43703,160000000,798958165,4835
43704,160000000,433677183,4836
43705,155000000,440603537,4837
43706,155000000,415686217,4838
43707,140000000,449220945,4788
43708,150000000,709709780,4788
43709,155000000,167298192,4839
43710,150000000,938212738,4770
43711,150000000,895921036,4797
43712,150000000,624029371,4782
43713,150000000,585349010,4831
43714,150000000,474968763,4785
43715,150000000,623722818,4840
43716,150000000,374218673,4765
43717,150000000,603900354,4841
43718,150000000,413106170,4842
43719,150000000,373062864,4843
43720,150000000,424988211,4805
43721,150000000,1274219009,4844
43722,150000000,738599701,4805
43723,170000000,644571402,4837
43724,150000000,378858340,4845
43725,150000000,356613439,4846
43726,150000000,449326618,4847
43727,150000000,309979994,4823
43728,150000000,292817841,4848
43729,150000000,301000000,4849
43730,150000000,245527149,4785
43731,150000000,682330139,4850
43732,150000000,0,4851
43733,150000000,287594577,4852
43734,150000000,665692281,4853
43735,150000000,318502923,4854
43736,150000000,397850012,4795
43737,150000000,205366737,4803
43738,150000000,38992758,4855
43739,149000000,64459316,4856
43740,150000000,128388320,4857
43741,145000000,272912430,4858
43742,175000000,497409852,4833
43743,145000000,746921274,4807
43744,140000000,431971116,4859
43745,144000000,229147509,4860
43746,140000000,553799566,4788
43747,140000000,441818803,4776
43748,70000000,195735876,4804
43749,145000000,521170825,4853
43750,145000000,694713380,4822
43751,145000000,306941670,4861
43752,100000000,202026112,4862
43753,140000000,456758981,4863
43754,140000000,268031828,4779
43755,150000000,385680446,4795
43756,139000000,821708551,4767
43757,145000000,609123048,4864
43758,140000000,150680864,4865
43759,135000000,76932943,4810
43760,130000000,185258983,4771
43761,140000000,285444603,4866
43762,137000000,245360480,4867
43763,130000000,371876278,4868
43764,130000000,119269486,4869
43765,137000000,85131830,4870
43766,140000000,370569774,4851
43767,135000000,361832400,4838
43768,150000000,212011111,4871
43769,120000000,829000000,4872
43770,130000000,150406466,4845
43771,150000000,163712074,4873
43772,140000000,183345589,4799
43773,135000000,532950503,4874
