id,popularity,vote_average,vote_count
43597,150,7.2,11800
43598,139,6.9,4500
43599,107,6.3,4466
43600,112,7.6,9106
43601,43,6.1,2124
43602,115,5.9,3576
43603,48,7.4,3330
43604,134,7.3,6767
43605,98,7.4,5293
43606,155,5.7,7004
43607,57,5.4,1400
43608,107,6.1,2965
43609,145,7,5246
43610,49,5.9,2311
43611,99,6.5,6359
43612,53,6.3,1630
43613,144,7.4,11776
43614,135,6.4,4948
43615,52,6.2,4160
43616,120,7.1,4760
43617,89,6.5,6586
43618,37,6.2,1398
43619,94,7.6,4524
43620,42,5.8,1303
43621,61,6.6,2337
43622,100,7.5,7562
43623,198,7.1,7241
43624,64,5.5,2114
43625,418,6.5,8662
43626,93,6.9,7604
43627,35,6.7,4321
43628,77,6.8,8806
43629,78,6.4,4645
43630,3,6.3,3525
43631,89,7,3528
43632,21,6,3138
43633,116,5.8,3095
43634,46,5.7,3530
43635,89,6.5,4179
43636,73,6.3,2841
43637,49,5.8,2033
43638,51,5.1,2487
43639,59,7.6,4597
43640,71,5.9,2463
43641,102,7.3,4176
43642,81,6.7,5560
43643,118,7.5,6032
43644,78,7.4,4418
43645,43,5.5,2598
43646,61,7.3,3769
43647,62,6.2,2317
43648,56,6.7,4794
43649,28,6.1,3299
43650,75,5.7,2495
43651,51,6.6,1736
43652,125,6.7,4641
43653,65,6.6,2568
43654,66,7.8,6296
43655,22,6.1,783
43656,45,5.6,4903
43657,39,6.6,1095
43658,85,5.2,2768
43659,42,5.5,2430
43660,67,6.7,2629
43661,139,6.4,4721
43662,187,8.2,12002
43663,92,7.7,6870
43664,36,6,1423
43665,120,7.4,8776
43666,32,7,2141
43667,40,5.1,1020
43668,60,5.2,1387
43669,90,5.9,7458
43670,27,5.3,1151
43671,79,7.6,4858
43672,44,5.9,992
43673,32,5.6,1962
43674,128,8,6560
43675,94,6.7,2892
43676,77,6.6,6849
43677,77,5.8,3118
43678,110,7,4496
43679,243,7.3,4410
43680,2,4.8,34
43681,41,5.9,1326
43682,72,7.6,5764
43683,44,6,1959
43684,130,6.2,2846
43685,203,7.8,6135
43686,62,7.1,4570
43687,47,6.4,1474
43688,48,4.9,2491
43689,67,7.5,4227
43690,69,5.9,2143
43691,481,7.9,9742
43692,724,8.1,10867
43693,167,8.1,13752
43695,108,7,8297
43696,6,6.6,3428
43697,60,7.3,3292
43698,3,7.1,5181
43699,127,6.6,3984
43700,35,5.8,1470
43701,21,5.5,583
43702,56,6.5,1725
43703,42,6,2278
43704,63,6.3,2268
43705,202,5.8,3631
43706,49,6.2,1514
43707,34,6.6,1791
43708,25,6.6,4040
43709,39,5.6,927
43710,78,7.4,5494
43711,101,7.5,5608
43712,56,6.2,2961
43713,70,6.9,4853
43714,53,6.7,3624
43715,65,7.5,4369
43716,115,7.5,7359
43717,44,6.2,1810
43718,81,5.9,1971
43719,5,6.2,4021
43720,73,6.4,3096
43721,165,7.3,5295
43722,70,6.7,3443
43723,99,6.8,4755
43724,434,7.2,9427
43725,67,6.5,2129
43726,86,6.6,6525
43727,41,6.3,1750
43728,26,5.1,510
43729,44,5.5,1431
43730,50,5.7,2320
43731,114,7.1,3224
43732,21,5.5,549
43733,29,5.7,1171
43734,51,6.7,1880
43735,33,4.7,1151
43736,63,6.5,2028
43737,39,6.4,1891
43738,12,5.5,199
43739,22,6,874
43740,48,5.9,954
43741,38,6.7,843
43742,66,6.9,2759
43743,44,6.4,1808
43744,54,5.8,1092
43745,66,5.3,2142
43746,58,6.4,2482
43747,91,6,3114
43748,35,5.5,841
43749,56,6.7,1603
43750,77,6.8,3972
43751,61,7.1,1922
43752,25,5.9,627
43753,52,7.3,1895
43754,101,5.6,1921
43755,73,7.4,4518
43756,82,6.8,5265
43757,100,7.6,3106
43758,56,5.3,1277
43759,17,4.9,331
43760,64,7,2811
43761,24,6.3,767
43762,34,5.3,1533
43763,59,5.4,3025
43764,21,5.7,434
43765,26,5.9,433
43766,74,6.6,7047
43767,39,6,862
43768,36,6.9,790
43769,99,6.1,2553
43770,17,5.8,373
43771,62,6.1,3021
43772,44,6,1000
43773,100,7.3,6396
43774,44,6.1,1074
43775,29,6.6,2051
43776,84,6.5,1346
43777,45,7.3,2888
43778,84,6.9,3145
43779,120,7,5880
43780,76,7.4,6495
43781,63,6.8,1519
43782,48,6.2,2322
43783,38,6.3,1564
43784,20,6.4,451
43785,48,6.2,2093
43786,46,5.6,2350
43787,89,6.7,2061
43788,79,7.7,5877
43789,28,6.3,694
43790,42,5,2532
43791,26,6.2,542
43792,115,6.1,1851
43793,68,6.7,1918
43794,109,7.5,7006
43795,39,5.4,1260
43796,271,7.5,6985
43797,206,6.6,5584
43798,45,6.5,2704
43799,42,6.3,978
43800,2,6.8,3506
43801,7,7.1,2438
43802,81,7,3886
43803,47,5.6,2233
43804,43,7.1,1710
43805,27,6.4,510
43806,90,6,2651
43807,50,4.2,1418
43808,45,6.2,1386
43809,41,6.2,2392
43810,54,5.9,1928
43811,25,6.2,597
43812,60,5.4,2589
43813,51,7.2,5797
43814,46,5.2,1712
43815,62,5.9,2341
43816,33,5.2,914
43817,68,6.3,5080
43818,27,5.4,613
43819,67,6.4,3439
43820,27,6.3,1570
43821,66,5.7,2342
43822,17,5.7,354
43823,11,4.9,223
43824,44,5.9,1547
43825,67,6.4,4800
43826,44,7.1,4116
43827,43,6.4,3992
43828,106,7.5,5996
43829,15,6.3,4053
43830,54,6.3,4432
43831,64,6.8,2399
43832,20,5,471
43833,18,5.8,341
43834,60,6,1523
43835,143,5.8,2636
43836,110,7.3,5751
43837,16,5.7,428
43838,39,5.8,963
43839,38,4.4,2278
43840,48,6.3,2862
43841,100,6,2968
43842,42,6,925
43843,23,6.8,1099
43844,76,6.4,2124
43845,44,6.5,2965
43846,103,6.2,3829
43847,45,7,1489
43848,22,4.9,621
43849,31,5.5,1251
43850,71,6.1,2397
43851,36,5.5,1179
43852,19,5.7,389
43853,86,5.9,1998
43854,37,6.6,2692
43855,32,5.5,695
43856,23,4.1,434
43857,45,6.6,2303
43858,48,6.4,2089
43859,138,8,8705
43860,22,5.7,672
